UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 01:04 ?        00:00:02 /sbin/init maybe-ubiquity splash ---
root           2       0  0 01:04 ?        00:00:00 [kthreadd]
root           3       2  0 01:04 ?        00:00:00 [rcu_gp]
root           4       2  0 01:04 ?        00:00:00 [rcu_par_gp]
root           5       2  0 01:04 ?        00:00:00 [slub_flushwq]
root           6       2  0 01:04 ?        00:00:00 [netns]
root           8       2  0 01:04 ?        00:00:00 [kworker/0:0H-events_highpri]
root          10       2  0 01:04 ?        00:00:00 [mm_percpu_wq]
root          11       2  0 01:04 ?        00:00:00 [rcu_tasks_kthread]
root          12       2  0 01:04 ?        00:00:00 [rcu_tasks_rude_kthread]
root          13       2  0 01:04 ?        00:00:00 [rcu_tasks_trace_kthread]
root          14       2  0 01:04 ?        00:00:00 [ksoftirqd/0]
root          15       2  0 01:04 ?        00:00:01 [rcu_preempt]
root          16       2  0 01:04 ?        00:00:00 [migration/0]
root          17       2  0 01:04 ?        00:00:00 [idle_inject/0]
root          19       2  0 01:04 ?        00:00:00 [cpuhp/0]
root          20       2  0 01:04 ?        00:00:00 [cpuhp/1]
root          21       2  0 01:04 ?        00:00:00 [idle_inject/1]
root          22       2  0 01:04 ?        00:00:00 [migration/1]
root          23       2  0 01:04 ?        00:00:00 [ksoftirqd/1]
root          25       2  0 01:04 ?        00:00:00 [kworker/1:0H-events_highpri]
root          26       2  0 01:04 ?        00:00:00 [cpuhp/2]
root          27       2  0 01:04 ?        00:00:00 [idle_inject/2]
root          28       2  0 01:04 ?        00:00:00 [migration/2]
root          29       2  0 01:04 ?        00:00:00 [ksoftirqd/2]
root          31       2  0 01:04 ?        00:00:00 [kworker/2:0H-events_highpri]
root          32       2  0 01:04 ?        00:00:00 [cpuhp/3]
root          33       2  0 01:04 ?        00:00:00 [idle_inject/3]
root          34       2  0 01:04 ?        00:00:00 [migration/3]
root          35       2  0 01:04 ?        00:00:00 [ksoftirqd/3]
root          37       2  0 01:04 ?        00:00:00 [kworker/3:0H-events_highpri]
root          38       2  0 01:04 ?        00:00:00 [kdevtmpfs]
root          39       2  0 01:04 ?        00:00:00 [inet_frag_wq]
root          40       2  0 01:04 ?        00:00:00 [kauditd]
root          41       2  0 01:04 ?        00:00:00 [khungtaskd]
root          43       2  0 01:04 ?        00:00:00 [oom_reaper]
root          44       2  0 01:04 ?        00:00:00 [writeback]
root          46       2  0 01:04 ?        00:00:00 [kcompactd0]
root          47       2  0 01:04 ?        00:00:00 [ksmd]
root          48       2  0 01:04 ?        00:00:00 [khugepaged]
root          49       2  0 01:04 ?        00:00:00 [kintegrityd]
root          50       2  0 01:04 ?        00:00:00 [kblockd]
root          51       2  0 01:04 ?        00:00:00 [blkcg_punt_bio]
root          52       2  0 01:04 ?        00:00:00 [tpm_dev_wq]
root          53       2  0 01:04 ?        00:00:00 [ata_sff]
root          54       2  0 01:04 ?        00:00:00 [md]
root          55       2  0 01:04 ?        00:00:00 [edac-poller]
root          56       2  0 01:04 ?        00:00:00 [devfreq_wq]
root          57       2  0 01:04 ?        00:00:00 [watchdogd]
root          60       2  0 01:04 ?        00:00:00 [kworker/1:1H-kblockd]
root          61       2  0 01:04 ?        00:00:00 [kswapd0]
root          62       2  0 01:04 ?        00:00:00 [ecryptfs-kthread]
root          68       2  0 01:04 ?        00:00:00 [kthrotld]
root          74       2  0 01:04 ?        00:00:00 [acpi_thermal_pm]
root          75       2  0 01:04 ?        00:00:00 [xenbus_probe]
root          76       2  0 01:04 ?        00:00:00 [scsi_eh_0]
root          77       2  0 01:04 ?        00:00:00 [scsi_tmf_0]
root          78       2  0 01:04 ?        00:00:00 [scsi_eh_1]
root          79       2  0 01:04 ?        00:00:00 [scsi_tmf_1]
root          80       2  0 01:04 ?        00:00:00 [vfio-irqfd-clea]
root          83       2  0 01:04 ?        00:00:00 [mld]
root          84       2  0 01:04 ?        00:00:00 [ipv6_addrconf]
root          89       2  0 01:04 ?        00:00:00 [kstrp]
root          95       2  0 01:04 ?        00:00:00 [zswap-shrink]
root          96       2  0 01:04 ?        00:00:00 [kworker/u9:0]
root         142       2  0 01:04 ?        00:00:00 [charger_manager]
root         168       2  0 01:04 ?        00:00:00 [kworker/3:1H-kblockd]
root         189       2  0 01:04 ?        00:00:00 [kworker/0:1H-kblockd]
root         194       2  0 01:04 ?        00:00:00 [scsi_eh_2]
root         195       2  0 01:04 ?        00:00:00 [scsi_tmf_2]
root         202       2  0 01:04 ?        00:00:00 [cryptd]
root         212       2  0 01:04 ?        00:00:00 [kworker/2:1H-kblockd]
root         238       2  0 01:04 ?        00:00:00 [irq/18-vmwgfx]
root         239       2  0 01:04 ?        00:00:00 [card0-crtc0]
root         240       2  0 01:04 ?        00:00:00 [card0-crtc1]
root         241       2  0 01:04 ?        00:00:00 [card0-crtc2]
root         242       2  0 01:04 ?        00:00:00 [card0-crtc3]
root         243       2  0 01:04 ?        00:00:00 [card0-crtc4]
root         244       2  0 01:04 ?        00:00:00 [card0-crtc5]
root         245       2  0 01:04 ?        00:00:00 [card0-crtc6]
root         246       2  0 01:04 ?        00:00:00 [card0-crtc7]
root         984       1  0 01:04 ?        00:00:00 /lib/systemd/systemd-journald
root        1010       2  0 01:04 ?        00:00:00 [kworker/u8:4-events_power_efficient]
root        1020       1  0 01:04 ?        00:00:00 /lib/systemd/systemd-udevd
